FIPS,County,State,Republican,Democrat,Other Votes,Population
10001,Kent,DE,42458,44222,1609,181858
10003,New Castle,DE,90868,180700,5291,570713
10005,Sussex,DE,81025,64836,1903,237375
42001,Adams,PA,40248,19842,781,103838
42003,Allegheny,PA,283595,429916,10266,1250536
42005,Armstrong,PA,28296,8553,360,65560
42007,Beaver,PA,56837,37196,1161,168229
42009,Bedford,PA,23658,4336,224,47568
42011,Berks,PA,116677,91125,2624,428851
42013,Blair,PA,46352,18127,661,122827
42015,Bradford,PA,22937,7990,265,59968
42017,Bucks,PA,198764,198472,5198,646528
42019,Butler,PA,79773,40661,1444,193774
42021,Cambria,PA,49408,21177,760,133478
42023,Cameron,PA,1654,538,27,4542
42025,Carbon,PA,23708,11394,334,64753
42027,Centre,PA,38829,41119,1205,158163
42029,Chester,PA,137291,184218,4863,534415
42031,Clarion,PA,15035,4561,184,37239
42033,Clearfield,PA,30841,9647,387,80551
42035,Clinton,PA,12965,5395,207,37444
42037,Columbia,PA,21190,11083,436,64722
42039,Crawford,PA,29504,12699,453,83938
42041,Cumberland,PA,80267,66255,2546,259479
42043,Dauphin,PA,69474,78327,2280,286402
42045,Delaware,PA,123421,201324,3427,576836
42047,Elk,PA,12543,4483,187,31000
42049,Erie,PA,68862,67436,1273,270892
42051,Fayette,PA,43631,19547,362,128825
42053,Forest,PA,1902,724,24,6973
42055,Franklin,PA,59604,23543,1016,155945
42057,Fulton,PA,7039,1102,36,14564
42059,Greene,PA,12319,4592,325,35953
42061,Huntington,PA,17627,5368,211,44087
42063,Indiana,PA,29215,12697,425,83233
42065,Jefferson,PA,18235,4707,241,44501
42067,Juniata,PA,9721,2290,128,23508
42069,Lackawanna,PA,56261,59510,1154,215918
42071,Lancaster,PA,166261,120119,4292,552989
42073,Lawrence,PA,31347,15440,468,86071
42075,Lebanon,PA,48282,24734,970,143253
42077,Lehigh,PA,91207,96317,2286,374571
42079,Luzerne,PA,92397,62445,1483,325613
42081,Lycoming,PA,41961,17216,669,114189
42083,McKean,PA,14401,5115,234,40430
42085,Mercer,PA,37761,20145,685,110658
42087,Mifflin,PA,17184,4735,201,46134
42089,Monroe,PA,42690,42017,842,168309
42091,Montgomery,PA,198311,317103,7724,856541
42093,Montour,PA,5944,3862,141,18145
42095,Northampton,PA,89737,86430,1738,312949
42097,Northumberland,PA,30240,12863,531,91641
42099,Perry,PA,19073,6385,361,45830
42101,Philadelphia,PA,144311,568571,10716,1603793
42103,Pike,PA,21537,13132,362,58546
42105,Potter,PA,7334,1675,109,16397
42107,Schuylkill,PA,51665,20882,814,143056
42109,Snyder,PA,14664,5239,178,39734
42111,Somerset,PA,31993,8596,398,74143
42113,Sullivan,PA,2721,976,24,5838
42115,Susquehanna,PA,16114,6093,264,38434
42117,Tioga,PA,16272,5100,274,41053
42119,Union,PA,12969,8015,273,42681
42121,Venango,PA,18883,7624,302,50462
42123,Warren,PA,14345,6212,235,38585
42125,Washington,PA,75929,44910,1117,209369
42127,Wayne,PA,20071,9150,295,51149
42129,Westmoreland,PA,135008,74904,2186,354672
42131,Wyoming,PA,10222,4680,193,26072
42133,York,PA,154884,91926,3326,456441
24001,Allegany,MD,22141,9231,765,68108
24003,Anne Arundel,MD,128892,171945,10735,588270
24005,Baltimore,MD,149560,249958,13397,854554
24510,Baltimore City,MD,27984,195109,7661,585690
24009,Calvert,MD,29361,23438,1392,92789
24011,Caroline,MD,11053,4860,417,33292
24013,Carroll,MD,62273,36867,3511,172895
24015,Cecil,MD,33871,17628,1332,103724
24017,Charles,MD,26145,63454,2498,166621
24019,Dorchester,MD,9390,6954,428,32529
24021,Frederick,MD,68753,82409,4952,271710
24023,Garrett,MD,11983,3456,399,28807
24025,Harford,MD,83050,62453,4587,260922
24027,Howard,MD,49425,124764,8102,332316
24029,Kent,MD,5561,5251,316,19198
24031,Montgomery,MD,112637,386581,20003,1062065
24033,Prince George,MD,45008,347038,11963,967215
24035,Queen Anne,MD,20200,11273,874,49876
24039,Somerset,MD,5805,4054,278,24615
24037,St. Mary,MD,33582,23531,1841,113777
24041,Talbot,MD,11125,11119,586,37523
24043,Washington,MD,44054,27260,2018,154704
24045,Wicomico,MD,24065,21513,1334,103588
24047,Worcester,MD,19632,12431,818,52465
34001,Atlantic,NJ,65817,61879,2513,274536
34003,Bergen,NJ,217096,232660,10929,955743
34005,Burlington,NJ,94116,132275,3792,461869
34007,Camden,NJ,87767,155522,4497,523498
34009,Cape May,NJ,32151,21648,987,95262
34011,Cumberland,NJ,28675,26577,700,154160
34013,Essex,NJ,83908,224596,4779,862768
34015,Gloucester,NJ,83326,78708,3229,302273
34017,Hudson,NJ,79913,144765,7554,724858
34019,Hunterdon,NJ,42391,36995,1885,128950
34021,Mercer,NJ,52274,107558,3947,387328
34023,Middlesex,NJ,162459,191802,12378,863202
34025,Monmouth,NJ,197409,156382,7805,643612
34027,Morris,NJ,143439,135672,6955,509288
34029,Ocean,NJ,227232,105789,5014,637235
34031,Passaic,NJ,100954,95156,7241,525054
34033,Salem,NJ,18229,12275,581,64830
34035,Somerset,NJ,74101,98790,5452,345353
34037,Sussex,NJ,52123,31019,1775,144220
34039,Union,NJ,89063,147327,5533,575363
34041,Warren,NJ,35772,23318,1266,109637
36001,Albany,NY,54560,92589,3856,314851
36003,Allegany,NY,13826,5483,360,46450
36005,Bronx,NY,98174,261670,7502,1472653
36007,Broome,NY,44763,45142,1918,198683
36009,Cattaraugus,NY,22586,11424,515,77034
36011,Cayuga,NY,20482,15772,531,76253
36013,Chautauqua,NY,34528,22085,908,127657
36015,Chemung,NY,21861,15572,570,84142
36017,Chenango,NY,14294,8177,305,47220
36019,Clinton,NY,18247,17478,513,79838
36021,Columbia,NY,15168,20396,762,61560
36023,Cortland,NY,11706,10290,334,46800
36025,Delaware,NY,13789,9237,375,44311
36027,Dutchess,NY,71778,79994,2803,297021
36029,Erie,NY,204774,248651,10154,954231
36031,Essex,NY,9533,9629,367,37374
36033,Franklin,NY,10569,8821,272,47573
36035,Fulton,NY,16237,7666,288,53333
36037,Genesee,NY,18997,9367,457,58383
36039,Greene,NY,14702,10436,550,47932
36041,Hamilton,NY,2223,1211,8,5105
36043,Herkimer,NY,19557,9110,357,60144
36045,Jefferson,NY,26417,16326,568,116711
36047,Kings,NY,233964,601265,26681,2736119
36049,Lewis,NY,9353,3600,293,26587
36051,Livingston,NY,18780,12148,533,61840
36053,Madison,NY,19025,14629,611,68017
36055,Monroe,NY,145940,214757,7646,759430
36057,Montgomery,NY,13286,7356,280,49527
36059,Nassau,NY,368117,338424,16045,1395767
36061,New York,NY,113921,533782,18896,1694250
36063,Niagara,NY,58678,43438,1457,212666
36065,Oneida,NY,60687,39415,1425,232113
36067,Onondaga,NY,93916,133155,4636,476523
36069,Ontario,NY,30221,29520,1073,112485
36071,Orange,NY,94936,80253,3317,401315
36073,Orleans,NY,12659,5366,276,40357
36075,Oswego,NY,33548,20483,681,117528
36077,Otsego,NY,15256,13031,496,58528
36079,Putnam,NY,31553,23956,912,97678
36081,Queens,NY,264628,437282,20027,2405425
36083,Rensselaer,NY,38601,39668,1483,161124
36085,Richmond,NY,128151,69345,4088,495752
36087,Rockland,NY,83543,65880,2826,338337
36089,St. Lawrence,NY,25919,18010,620,108501
36091,Saratoga,NY,63940,66321,2556,235502
36093,Schenectady,NY,31975,39733,1404,158052
36095,Schoharie,NY,10423,5547,261,29718
36097,Schuyler,NY,5717,3736,126,17894
36099,Seneca,NY,8379,6610,238,33816
36101,Steuben,NY,29777,15413,632,93571
36103,Suffolk,NY,417549,341812,11852,1525894
36105,Sullivan,NY,20386,14549,709,78613
36107,Tioga,NY,15038,9437,364,48452
36109,Tompkins,NY,11354,34631,1322,105737
36111,Ulster,NY,39743,57974,2307,181841
36113,Warren,NY,18606,17099,613,65737
36115,Washington,NY,17268,11224,405,61297
36117,Wayne,NY,27286,17056,673,91286
36119,Westchester,NY,167795,287434,9752,1004469
36121,Wyoming,NY,14112,4929,374,40544
36123,Yates,NY,6098,4401,201,24769
51001,Accomack,VA,9659,7374,143,33418
51003,Albemarle,VA,21513,44279,1432,112395
51005,Alleghany,VA,6093,2114,86,15211
51007,Amelia,VA,5776,2214,59,13260
51009,Amherst,VA,11742,5429,187,31310
51011,Appomattox,VA,7243,2324,118,16116
51013,Arlington,VA,25223,100446,3892,238642
51015,Augusta,VA,32429,11403,585,77485
51017,Bath,VA,1976,588,19,4204
51019,Bedford,VA,38017,12414,650,79465
51021,Bland,VA,2998,524,33,6273
51023,Botetourt,VA,15796,5915,267,33595
51025,Brunswick,VA,3523,4184,44,15846
51027,Buchanan,VA,7939,1355,43,20343
51029,Buckingham,VA,4847,2988,90,16831
51031,Campbell,VA,23032,7890,365,55699
51033,Caroline,VA,9511,7957,230,30881
51035,Carroll,VA,13152,2925,123,29158
51036,Charles,VA,1917,2384,52,6771
51037,Charlotte,VA,3963,2008,49,11533
51041,Chesterfield,VA,94030,112869,3729,364061
51043,Clarke,VA,5641,3993,205,14787
51045,Craig,VA,2562,542,31,4892
51047,Culpeper,VA,17685,10557,437,52550
51049,Cumberland,VA,3335,2117,49,9676
51051,Dickenson,VA,5701,1316,43,14128
51053,Dinwiddie,VA,9549,5942,120,27941
51057,Essex,VA,3245,2775,54,10600
51059,Fairfax,VA,181895,386438,21094,1150294
51061,Fauquier,VA,26825,17180,763,72964
51063,Floyd,VA,6551,2968,147,15475
51065,Fluvanna,VA,8777,7731,235,27252
51067,Franklin,VA,22319,8321,380,54467
51069,Frederick,VA,33117,18331,815,91418
51071,Giles,VA,7102,2069,92,16792
51073,Gloucester,VA,15918,7034,276,38715
51075,Goochland,VA,11521,7875,346,24730
51077,Grayson,VA,6544,1503,72,15336
51079,Greene,VA,7432,4456,218,20554
51081,Greensville,VA,1936,2334,33,11391
51083,Halifax,VA,10741,6984,146,34024
51085,Hanover,VA,45569,26733,1102,109977
51087,Henrico,VA,62882,115040,3567,334931
51089,Henry,VA,16800,8457,217,50949
51091,Highland,VA,1095,416,24,2232
51093,Isle of Wight,VA,14659,9779,324,38611
51095,James City,VA,23575,26742,957,78253
51097,King and Queen,VA,2608,1536,44,6606
51099,King George,VA,9500,5657,280,26724
51101,King William,VA,8080,3388,115,17811
51103,Lancaster,VA,3866,3355,92,10923
51105,Lee,VA,8674,1391,57,22172
51107,Loudon,VA,92107,129280,8305,420957
51109,Louisa,VA,15084,8779,281,37597
51111,Lunenburg,VA,3594,2253,38,11936
51113,Madison,VA,5671,2700,109,13841
51115,Mathews,VA,4106,1774,65,8533
51117,Mecklenburg,VA,9791,6404,109,30315
51119,Middlesex,VA,4357,2473,77,10625
51121,Montgomery,VA,22179,23811,1063,99719
51125,Nelson,VA,5004,4298,128,14772
51127,New Kent,VA,10974,5641,192,22944
51131,Northampton,VA,3183,3603,70,12281
51133,Northumberland,VA,4938,3202,92,11839
51135,Nottoway,VA,4168,2636,65,15649
51137,Orange,VA,13764,8274,315,36186
51139,Page,VA,10123,2976,152,23709
51141,Patrick,VA,7746,1886,87,17610
51143,Pittsylvania,VA,24310,9599,247,60498
51145,Powhatan,VA,14918,5734,262,30343
51147,Prince Edward,VA,4782,4539,139,21849
51149,Prince George,VA,10590,6842,201,43010
51153,Prince William,VA,90203,131128,7381,482200
51155,Pulaski,VA,12732,4830,182,33799
51157,Rappahannock,VA,2943,2041,81,7349
51159,Richmond,VA,2697,1439,32,8919
51161,Roanoke,VA,34453,21693,902,96931
51163,Rockbridge,VA,8468,4160,200,22652
51165,Rockingham,VA,33033,15035,785,83763
51167,Russell,VA,11303,2172,72,25784
51169,Scott,VA,9392,1607,78,21569
51171,Shenandoah,VA,17215,6914,360,44190
51173,Smyth,VA,11521,2805,142,29801
51175,Southampton,VA,6133,3626,97,18000
51177,Spotsylvania,VA,42531,35747,1236,140092
51179,Stafford,VA,40590,41252,1697,156939
51181,Surry,VA,2205,2176,60,6558
51183,Sussex,VA,2322,2539,39,10827
51185,Tazewell,VA,16711,3030,165,40437
51187,Warren,VA,15400,6910,369,40721
51191,Washington,VA,22455,6772,291,53936
51193,Westmoreland,VA,6003,4491,113,18479
51195,Wise,VA,13655,3036,121,36118
51197,Wythe,VA,12267,3075,133,28291
51199,York,VA,20722,18296,731,70052
51510,Alexandria,VA,16112,62326,2466,159464
51520,Bristol,VA,5197,2231,62,17219
51530,Buena Vista,VA,2035,767,65,6641
51540,Charlottesville,VA,3428,19435,571,46553
51550,Chesapeake,VA,60550,65399,2052,249369
51570,Colonial Heights,VA,5883,2982,99,18170
51580,Covington,VA,1642,818,20,5747
51590,Danville,VA,6894,10615,203,42590
51595,Emporia,VA,744,1419,16,5764
51600,Fairfax,VA,4302,8797,468,24147
51610,Falls Church,VA,1620,7200,242,14661
51620,Franklin,VA,1476,2359,52,8176
51630,Fredericksburg,VA,4480,8760,338,27973
