FIPS,County,State,Republican,Democrat,
10001,Kent,DE,88364,195034,Source:
10003,New Castle,DE,41009,44552,https://en.wikipedia.org/wiki/List_of_United_States_FIPS_codes_by_county
10005,Sussex,DE,71230,56682,
42001,Adams,PA,37567,18254,
42003,Allegheny,PA,282913,430759,
42005,Armstrong,PA,27489,8457,
42007,Beaver,PA,54759,38122,
42009,Bedford,PA,23025,4367,
42011,Berks,PA,109926,93116,
42013,Blair,PA,45306,17636,
42015,Bradford,PA,21600,8046,
42017,Bucks,PA,187367,204712,
42019,Butler,PA,74359,37508,
42021,Cambria,PA,48085,21730,
42023,Cameron,PA,1771,634,
42025,Carbon,PA,21984,11212,
42027,Centre,PA,36372,40055,
42029,Chester,PA,128565,182372,
42031,Clarion,PA,14578,4678,
42033,Clearfield,PA,29203,9673,
42035,Clinton,PA,11902,5502,
42037,Columbia,PA,20098,10532,
42039,Crawford,PA,28561,12924,
42041,Cumberland,PA,77212,62245,
42043,Dauphin,PA,66408,78983,
42045,Delaware,PA,118639,206709,
42047,Elk,PA,12140,4522,
42049,Erie,PA,66869,68286,
42051,Fayette,PA,41251,20469,
42053,Forest,PA,1882,728,
42055,Franklin,PA,57245,22422,
42057,Fulton,PA,6824,1085,
42059,Greene,PA,12579,4911,
42061,Huntington,PA,17061,5445,
42063,Indiana,PA,28089,12634,
42065,Jefferson,PA,17964,4529,
42067,Juniata,PA,9649,2253,
42069,Lackawanna,PA,52334,61991,
42071,Lancaster,PA,160209,115847,
42073,Lawrence,PA,29597,15978,
42075,Lebanon,PA,46731,23932,
42077,Lehigh,PA,84418,98498,
42079,Luzerne,PA,86929,64873,
42081,Lycoming,PA,41462,16971,
42083,McKean,PA,14083,5098,
42085,Mercer,PA,36143,21067,
42087,Mifflin,PA,16670,4603,
42089,Monroe,PA,38726,44060,
42091,Montgomery,PA,185460,319511,
42093,Montour,PA,5844,3771,
42095,Northampton,PA,83854,85087,
42097,Northumberland,PA,28975,12703,
42099,Perry,PA,18293,5950,
42101,Philadelphia,PA,132870,604175,
42103,Pike,PA,19241,13052,
42105,Potter,PA,7239,1726,
42107,Schuylkill,PA,48871,20727,
42109,Snyder,PA,13983,4910,
42111,Somerset,PA,31466,8654,
42113,Sullivan,PA,2619,921,
42115,Susquehanna,PA,15207,6236,
42117,Tioga,PA,15742,4955,
42119,Union,PA,12356,7475,
42121,Venango,PA,18569,7585,
42123,Warren,PA,14237,6066,
42125,Washington,PA,72080,45088,
42127,Wayne,PA,18637,9191,
42129,Westmoreland,PA,130299,72192,
42131,Wyoming,PA,9936,4704,
42133,York,PA,146733,88114,
24001,Allegany,MD,20886,9158,
24003,Anne Arundel,MD,127821,172823,
24005,Baltimore,MD,146202,258409,
24510,Baltimore City,MD,25374,207260,
24009,Calvert,MD,25346,22587,
24011,Caroline,MD,10283,5095,
24013,Carroll,MD,60218,36456,
24015,Cecil,MD,29439,16809,
24017,Charles,MD,25579,62171,
24019,Dorchester,MD,8764,6857,
24021,Frederick,MD,63682,77675,
24023,Garrett,MD,12002,3281,
24025,Harford,MD,80930,63095,
24027,Howard,MD,48390,129433,
24029,Kent,MD,5195,5329,
24031,Montgomery,MD,101222,419569,
24033,Prince George,MD,37090,379208,
24035,Queen Anne,MD,18741,10709,
24039,Somerset,MD,5739,4241,
24037,St. Mary,MD,30826,23138,
24041,Talbot,MD,10946,11062,
24043,Washington,MD,40224,26044,
24045,Wicomico,MD,22944,22054,
24047,Worcester,MD,18571,12560,
34001,Atlantic,NJ,64438,73808,
34003,Bergen,NJ,204417,285967,
34005,Burlington,NJ,103345,154595,
34007,Camden,NJ,86207,175065,
34009,Cape May,NJ,33158,23941,
34011,Cumberland,NJ,28952,32742,
34013,Essex,NJ,75475,266820,
34015,Gloucester,NJ,83340,86702,
34017,Hudson,NJ,65698,181452,
34019,Hunterdon,NJ,43153,39457,
34021,Mercer,NJ,51641,122532,
34023,Middlesex,NJ,143467,226250,
34025,Monmouth,NJ,191808,181291,
34027,Morris,NJ,141134,153881,
34029,Ocean,NJ,217740,119456,
34031,Passaic,NJ,92009,129097,
34033,Salem,NJ,18827,14479,
34035,Somerset,NJ,71996,111173,
34037,Sussex,NJ,51701,34481,
34039,Union,NJ,80038,170310,
34041,Warren,NJ,34769,24901,
36001,Albany,NY,51081,99474,
36003,Allegany,NY,14135,6048,
36005,Bronx,NY,67740,355374,
36007,Broome,NY,43791,47002,
36009,Cattaraugus,NY,22155,11879,
36011,Cayuga,NY,19632,16359,
36013,Chautauqua,NY,34853,23088,
36015,Chemung,NY,21922,16636,
36017,Chenango,NY,13496,8300,
36019,Clinton,NY,16514,18364,
36021,Columbia,NY,14464,20386,
36023,Cortland,NY,10789,10370,
36025,Delaware,NY,13387,9143,
36027,Dutchess,NY,66872,81443,
36029,Erie,NY,197552,267270,
36031,Essex,NY,8982,9950,
36033,Franklin,NY,9668,9253,
36035,Fulton,NY,15378,7931,
36037,Genesee,NY,18876,9625,
36039,Greene,NY,14271,10346,
36041,Hamilton,NY,2225,1178,
36043,Herkimer,NY,18871,9939,
36045,Jefferson,NY,25629,17307,
36047,Kings,NY,202772,703310,
36049,Lewis,NY,8890,3823,
36051,Livingston,NY,18182,12477,
36053,Madison,NY,18409,14805,
36055,Monroe,NY,145661,225746,
36057,Montgomery,NY,12745,7977,
36059,Nassau,NY,326716,396504,
36061,New York,NY,85185,603040,
36063,Niagara,NY,56068,46029,
36065,Oneida,NY,57860,41973,
36067,Onondaga,NY,91715,138991,
36069,Ontario,NY,28782,28749,
36071,Orange,NY,85068,84955,
36073,Orleans,NY,12126,5587,
36075,Oswego,NY,32142,21145,
36077,Otsego,NY,14382,12975,
36079,Putnam,NY,29283,24955,
36081,Queens,NY,212665,569038,
36083,Rensselaer,NY,36500,40969,
36085,Richmond,NY,123320,90997,
36087,Rockland,NY,73186,75802,
36089,St. Lawrence,NY,24608,19361,
36091,Saratoga,NY,61305,68471,
36093,Schenectady,NY,30741,42465,
36095,Schoharie,NY,9903,5345,
36097,Schuyler,NY,5621,3903,
36099,Seneca,NY,8329,6914,
36101,Steuben,NY,29474,15790,
36103,Suffolk,NY,381253,381021,
36105,Sullivan,NY,18665,15489,
36107,Tioga,NY,14791,9634,
36109,Tompkins,NY,11096,33619,
36111,Ulster,NY,37590,57970,
36113,Warren,NY,17699,17642,
36115,Washington,NY,15941,11565,
36117,Wayne,NY,26204,17456,
36119,Westchester,NY,144731,312437,
36121,Wyoming,NY,13898,5073,
36123,Yates,NY,6208,4219,
51001,Accomack,VA,9172,7578,
51003,Albemarle,VA,20804,42466,
51005,Alleghany,VA,5859,2243,
51007,Amelia,VA,5390,2411,
51009,Amherst,VA,11041,5672,
51011,Appomattox,VA,6702,2418,
51013,Arlington,VA,22318,105344,
51015,Augusta,VA,30714,10840,
51017,Bath,VA,1834,646,
51019,Bedford,VA,35600,12176,
51021,Bland,VA,2903,532,
51023,Botetourt,VA,15099,5700,
51025,Brunswick,VA,3357,4552,
51027,Buchanan,VA,8311,1587,
51029,Buckingham,VA,4544,3471,
51031,Campbell,VA,21245,8070,
51033,Caroline,VA,8336,7657,
51035,Carroll,VA,12659,2842,
51036,Charles,VA,1761,2624,
51037,Charlotte,VA,3815,2317,
51041,Chesterfield,VA,93326,106935,
51043,Clarke,VA,5192,3920,
51045,Craig,VA,2536,587,
51047,Culpeper,VA,16012,10617,
51049,Cumberland,VA,3019,2227,
51051,Dickenson,VA,5748,1503,
51053,Dinwiddie,VA,8695,6224,
51057,Essex,VA,3075,3038,
51059,Fairfax,VA,168401,419943,
51061,Fauquier,VA,25106,17565,
51063,Floyd,VA,6225,3004,
51065,Fluvanna,VA,8155,7414,
51067,Franklin,VA,20895,8381,
51069,Frederick,VA,30558,17207,
51071,Giles,VA,6876,2156,
51073,Gloucester,VA,14875,6964,
51075,Goochland,VA,9966,6685,
51077,Grayson,VA,6529,1535,
51079,Greene,VA,6866,4163,
51081,Greensville,VA,1914,2627,
51083,Halifax,VA,10418,7666,
51085,Hanover,VA,44318,25307,
51087,Henrico,VA,63440,116572,
51089,Henry,VA,16725,9127,
51091,Highland,VA,1092,417,
51093,Isle of Wight,VA,13707,9399,
51095,James City,VA,23153,25553,
51097,King and Queen,VA,2450,1590,
51099,King George,VA,8446,5404,
51101,King William,VA,7320,3260,
51103,Lancaster,VA,3697,3368,
51105,Lee,VA,8365,1489,
51107,Loudon,VA,82088,138372,
51109,Louisa,VA,13294,8269,
