FIPS,County,State,Republican,Democrat,Other Votes,Population
10001,Kent,DE,41009,44552,1464,181858
10003,New Castle,DE,88364,195034,4235,570713
10005,Sussex,DE,71230,56682,1440,237375
42001,Adams,PA,37567,18254,988,103838
42003,Allegheny,PA,282913,430759,11128,1250536
42005,Armstrong,PA,27489,8457,480,65560
42007,Beaver,PA,54759,38122,1516,168229
42009,Bedford,PA,23025,4367,218,47568
42011,Berks,PA,109926,93116,3511,428851
42013,Blair,PA,45306,17636,806,122827
42015,Bradford,PA,21600,8046,586,59968
42017,Bucks,PA,187367,204712,5212,646528
42019,Butler,PA,74359,37508,1796,193774
42021,Cambria,PA,48085,21730,936,133478
42023,Cameron,PA,1771,634,35,4542
42025,Carbon,PA,21984,11212,493,64753
42027,Centre,PA,36372,40055,1464,158163
42029,Chester,PA,128565,182372,4816,534415
42031,Clarion,PA,14578,4678,268,37239
42033,Clearfield,PA,29203,9673,620,80551
42035,Clinton,PA,11902,5502,257,37444
42037,Columbia,PA,20098,10532,650,64722
42039,Crawford,PA,28561,12924,629,83938
42041,Cumberland,PA,77212,62245,2730,259479
42043,Dauphin,PA,66408,78983,2510,286402
42045,Delaware,PA,118639,206709,4056,576836
42047,Elk,PA,12140,4522,280,31000
42049,Erie,PA,66869,68286,2339,270892
42051,Fayette,PA,41251,20469,559,128825
42053,Forest,PA,1882,728,44,6973
42055,Franklin,PA,57245,22422,1358,155945
42057,Fulton,PA,6824,1085,81,14564
42059,Greene,PA,12579,4911,207,35953
42061,Huntington,PA,17061,5445,337,44087
42063,Indiana,PA,28089,12634,566,83233
42065,Jefferson,PA,17964,4529,379,44501
42067,Juniata,PA,9649,2253,170,23508
42069,Lackawanna,PA,52334,61991,1370,215918
42071,Lancaster,PA,160209,115847,5319,552989
42073,Lawrence,PA,29597,15978,612,86071
42075,Lebanon,PA,46731,23932,1195,143253
42077,Lehigh,PA,84418,98498,2739,374571
42079,Luzerne,PA,86929,64873,1697,325613
42081,Lycoming,PA,41462,16971,964,114189
42083,McKean,PA,14083,5098,329,40430
42085,Mercer,PA,36143,21067,907,110658
42087,Mifflin,PA,16670,4603,274,46134
42089,Monroe,PA,38726,44060,1248,168309
42091,Montgomery,PA,185460,319511,6949,856541
42093,Montour,PA,5844,3771,202,18145
42095,Northampton,PA,83854,85087,2458,312949
42097,Northumberland,PA,28975,12703,757,91641
42099,Perry,PA,18293,5950,485,45830
42101,Philadelphia,PA,132870,604175,6921,1603793
42103,Pike,PA,19241,13052,323,58546
42105,Potter,PA,7239,1726,120,16397
42107,Schuylkill,PA,48871,20727,1157,143056
42109,Snyder,PA,13983,4910,288,39734
42111,Somerset,PA,31466,8654,506,74143
42113,Sullivan,PA,2619,921,58,5838
42115,Susquehanna,PA,15207,6236,370,38434
42117,Tioga,PA,15742,4955,429,41053
42119,Union,PA,12356,7475,361,42681
42121,Venango,PA,18569,7585,447,50462
42123,Warren,PA,14237,6066,354,38585
42125,Washington,PA,72080,45088,1588,209369
42127,Wayne,PA,18637,9191,319,51149
42129,Westmoreland,PA,130299,72192,2839,354672
42131,Wyoming,PA,9936,4704,260,26072
42133,York,PA,146733,88114,4299,456441
24001,Allegany,MD,20886,9158,597,68108
24003,Anne Arundel,MD,127821,172823,8973,588270
24005,Baltimore,MD,146202,258409,10321,854554
24510,Baltimore City,MD,25374,207260,4827,585690
24009,Calvert,MD,25346,22587,1179,92789
24011,Caroline,MD,10283,5095,416,33292
24013,Carroll,MD,60218,36456,3635,172895
24015,Cecil,MD,29439,16809,1214,103724
24017,Charles,MD,25579,62171,1748,166621
24019,Dorchester,MD,8764,6857,356,32529
24021,Frederick,MD,63682,77675,4258,271710
24023,Garrett,MD,12002,3281,328,28807
24025,Harford,MD,80930,63095,4161,260922
24027,Howard,MD,48390,129433,5239,332316
24029,Kent,MD,5195,5329,270,19198
24031,Montgomery,MD,101222,419569,12952,1062065
24033,Prince George,MD,37090,379208,8557,967215
24035,Queen Anne,MD,18741,10709,840,49876
24039,Somerset,MD,5739,4241,1701,24615
24037,St. Mary,MD,30826,23138,167,113777
24041,Talbot,MD,10946,11062,547,37523
24043,Washington,MD,40224,26044,1511,154704
24045,Wicomico,MD,22944,22054,1218,103588
24047,Worcester,MD,18571,12560,560,52465
34001,Atlantic,NJ,64438,73808,1785,274536
34003,Bergen,NJ,204417,285967,7454,955743
34005,Burlington,NJ,103345,154595,4710,461869
34007,Camden,NJ,86207,175065,4327,523498
34009,Cape May,NJ,33158,23941,834,95262
34011,Cumberland,NJ,28952,32742,881,154160
34013,Essex,NJ,75475,266820,3892,862768
